KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
iin, 医院, doctor's office, clinic, dispensary, , |iin|医院|doctor's office, clinic, dispensary|Noun|Place|||||||
shisha, 支社, branch office, , |shisha|支社|branch office|Noun|Place|||||||
koujou, 工場, factory, plant, mill, workshop, , |koujou|工場|factory, plant, mill, workshop|Noun|Place|||||||
ikegaki, 生垣, hedge, 生け垣, |ikegaki|生垣|hedge|Noun|Place||||||生け垣|
sakai, 境, 界, border, boundary, , |sakai|境, 界|border, boundary|Noun|Place|||||||
ken, 県, prefecture (of Japan), county (of China), , |ken|県|prefecture (of Japan), county (of China)|Noun|Place|||||||
ryou, 寮, dorm, dormitory, hostel, , |ryou|寮|dorm, dormitory, hostel|Noun|Place|||||||
shichakushitsu, 試着室, dressing room, , |shichakushitsu|試着室|dressing room|Noun|Place|||||||
kuukou, 空港, airport, , |kuukou|空港|airport|Noun|Place|||428||||
hikoujou, 飛行場, airfield, airport, , |hikoujou|飛行場|airfield, airport|Noun|Place|||||||
byouin, 病院, hospital, , |byouin|病院|hospital|Noun|Place|||429||||
daibyouin, 大病院, major hospital, large hospital, , |daibyouin|大病院|major hospital, large hospital|Noun|Place|||||||
tokai, 都会, city, , |tokai|都会|city|Noun|Place|||||||
daitokai, 大都会, big city, , |daitokai|大都会|big city|Noun|Place|||||||
toko no ma, 床の間, alcove where art or flowers are displayed, , |toko no ma|床の間|alcove where art or flowers are displayed|Noun|Place|||||||
ginkou, 銀行, bank, , |ginkou|銀行|bank|Noun|Place|||430||||
koshitsu, 個室, private room, , |koshitsu|個室|private room|Noun|Place|||||||
shinshitsu, 寝室, bedroom, , |shinshitsu|寝室|bedroom|Noun|Place|||||||
kado, 角, corner, angle, , |kado|角|corner, angle|Noun|Place|||431||||
koonaa, コーナー, corner, , |koonaa|コーナー|corner|Noun|Place|||432||||
shuto, 首都, capital city, metropolis, , |shuto|首都|capital city, metropolis|Noun|Place|||||||
senjou, 戦場, battlefield, battleground, , |senjou|戦場|battlefield, battleground|Noun|Place|||||||
inaka, 田舎, rural area, countryside, , |inaka|田舎|rural area, countryside|Noun|Place|||||||
kabe, heki, 壁, wall, barrier, , |kabe, heki|壁|wall, barrier|Noun|Place|||||||
tenjou, 天井, ceiling, , |tenjou|天井|ceiling|Noun|Place|||1397||||
juutaku, 住宅, residence, housing, residential building, , |juutaku|住宅|residence, housing, residential building|Noun|Place|||1271||||
tokoro, toko, 所, place, location, , |tokoro, toko|所|place, location|Noun|Place|||432||||
heya, 部屋, room, , |heya|部屋|room|Noun|Place|||433, 1355||||
ue, 上, top, , |ue|上|top|Noun|Place|||434|shita|||
mae, 前, front, , |mae|前|front|Noun|Place|||435|ushiro|temae||
temae, 手前, front, juxtaposed to, , |temae|手前|front, juxtaposed to|Noun|Place|||436|ushiro|mae||
uchi, 内, inside, , |uchi|内|inside|Noun|Place||||soto|inai||
uchigawa, 内側, inside, interior, inner part, , |uchigawa|内側|inside, interior, inner part|Noun|Place|||||||
inai, 以内, within, inside of, less than, , |inai|以内|within, inside of, less than|Noun|Place|||437, 165|uchi|soto||
shita, 下, bottom, , |shita|下|bottom|Noun|Place||||ue|||
ura, 裏, bottom (or another side that is hidden from view), undersurface, opposite side, reverse side, rear, back, behind (the house), lining, inside, out of sight, behind the scenes, proof, opposite (of a prediction, common sense, etc.), inverse (of a hypothesis, etc.), bottom (of an inning), last half (of an inning), , |ura|裏|bottom (or another side that is hidden from view), undersurface, opposite side, reverse side, rear, back, behind (the house), lining, inside, out of sight, behind the scenes, proof, opposite (of a prediction, common sense, etc.), inverse (of a hypothesis, etc.), bottom (of an inning), last half (of an inning)|Noun|Place|||||||
hoteru, ホテル, hotel, , |hoteru|ホテル|hotel|Noun|Place|||438, 1272||||
ushiro, 後ろ, back, , |ushiro|後ろ|back|Noun|Place|||439|mae, temae|||
soto, 外, outside, , |soto|外|outside|Noun|Place|||440|uchi, inai|||
migi, 右, right, , |migi|右|right|Noun|Place|||441|hidari|||
hidari, 左, left, , |hidari|左|left|Noun|Place|||442|migi|||
tsukiatari, 突き当たり, edge, , |tsukiatari|突き当たり|edge|Noun|Place|of street, of hallway...||||tsukiatari||
soba, gawa, 側, vicinity, side, , |soba, gawa|側|vicinity, side|Noun|Place|||419||||
atari, 辺り, vicinity, neighborhood, near, , |atari|辺り|vicinity, neighborhood, near|Noun|Place||X no atari no|443||hen||
||||||Y in the vicinity of X|Y no atari de X @ X = action, Y = noun|444||||
hen, 辺, area, side, part, place, , |hen|辺|area, side, part, place|Noun|Place|||445, 445, 446||atari||
chuushin, 中心, center, middle, , |chuushin|中心|center, middle|Noun|Place|||447||||
yoko, 横, horizontal, lying down, side-to-side, width, breadth, side (of), beside, aside, next to, unconnected, , |yoko|横|horizontal, lying down, side-to-side, width, breadth, side (of), beside, aside, next to, unconnected|Noun|Place|side of X|X no yoko|448||||
dainingu, ダイニング, dine-in, , |dainingu|ダイニング|dine-in|Noun|Place|||||||
madoguchi, 窓口, ticket counter, teller window, , |madoguchi|窓口|ticket counter, teller window|Noun|Place|||1301||||
iriguchi, 入口, entrance, , |iriguchi|入口|entrance|Noun|Place|||449|deguchi|||
deguchi, 出口, exit, , |deguchi|出口|exit|Noun|Place|||450|genkan, iriguchi|||
genkan, 玄関, entranceway, entryway, entry hall, vestibule, foyer, , |genkan|玄関|entranceway, entryway, entry hall, vestibule, foyer|Noun|Place|||451|deguchi|||
hijouguchi, 非常口, emergency exit, , |hijouguchi|非常口|emergency exit|Noun|Place|||||deguchi||
ensen, 沿線, area along a train line, , |ensen|沿線|area along a train line|Noun|Place|||||||
kaigan, 海岸, seashore, coast, beach, , |kaigan|海岸|seashore, coast, beach|Noun|Place|||1334||||
haigo, 背後, back, rear, background, behind the scenes, , |haigo|背後|back, rear, background, behind the scenes|Noun|Place|||||||
kouen, 公園, park, , |kouen|公園|park|Noun|Place|||406||||
touyou, 東洋, the Orient, , |touyou|東洋|the Orient|Noun|Place|||||||
ireko, 入れ子, nest, , |ireko|入れ子|nest|Noun|Place|||||||
youchi, 用地, site, , |youchi|用地|site|Noun|Place|||||||
chikatetsu, 地下鉄, subway, , |chikatetsu|地下鉄|subway|Noun|Place|||132||||
noriba, 乗り場, stand, , |noriba|乗り場|stand|Noun|Place|||||||
kippu uriba, 切符売場, ticket office, , |kippu uriba|切符売場|ticket office|Noun|Place|||||||
uriba, 売り場, point of sale, POS, sales floor, counter (in shop), booth, 売場, |uriba|売り場|point of sale, POS, sales floor, counter (in shop), booth|Noun|Place|||1300|||売場|
kaisatsu guchi, 改札口, ticket examination gate, wicket, , |kaisatsu guchi|改札口|ticket examination gate, wicket|Noun|Place|||179||||
seisanjo, 精算所, fare adjustment office, , |seisanjo|精算所|fare adjustment office|Noun|Place|||||||
uketsuke, 受付, reception, , |uketsuke|受付|reception|Noun|Place|||1278||||
otearai, お手洗い, toilet, lavatory, , |otearai|お手洗い|toilet, lavatory|Noun|Place|||452||toiru||
toiru, toire, トイル, トイレ, toilet, lavatory, , |toiru, toire|トイル, トイレ|toilet, lavatory|Noun|Place|||453||otearai||
toiruttopeepaa, トイルットペーパー, toilet paper, , |toiruttopeepaa|トイルットペーパー|toilet paper|Noun|Place|||454||||
keshou shitsu, 化粧室, powder room, , |keshou shitsu|化粧室|powder room|Noun|Place|||||||
chuushajou, 駐車場, parking lot, , |chuushajou|駐車場|parking lot|Noun|Place|||||||
taishikan, 大使館, embassy, , |taishikan|大使館|embassy|Noun|Place|||455||||
yuubinkyoku, 郵便局, post office, , |yuubinkyoku|郵便局|post office|Noun|Place|||456||||
higashi, 東, east, , |higashi|東|east|Noun|Place|||457||||
nishi, 西, west, , |nishi|西|west|Noun|Place|||458||||
kita, 北, north, , |kita|北|north|Noun|Place|||459||||
minami, 南, south, , |minami|南|south|Noun|Place|||179||||
kousaten, 交差点, intersection, , |kousaten|交差点|intersection|Noun|Place|||443||||
michi, 道, road, way, , |michi|道|road, way|Noun|Place|||460, 461||||
gekijou, 劇場, theater, , |gekijou|劇場|theater|Noun|Place|||||||
hashi, 橋, bridge, , |hashi|橋|bridge|Noun|Place|||462||||
sisha, 支社, branch office, , |sisha|支社|branch office|Noun|Place|||||||
mise, 店, shop, , |mise|店|shop|Noun|Place|||||||
bunbouguya, 文房具屋, stationary shop, , |bunbouguya|文房具屋|stationary shop|Noun|Place|||||||
koya, 小屋, hut, cabin, shed, (animal) pen, , |koya|小屋|hut, cabin, shed, (animal) pen|Noun|Place|||||||
yaoya, 八百屋, greengrocer, vegetable store, , |yaoya|八百屋|greengrocer, vegetable store|Noun|Place|||463||||
kinokuniya, 紀伊國屋, large bookstore, , |kinokuniya|紀伊國屋|large bookstore|Noun|Place|||||||
hon'ya, 本屋, bookstore, honya, |hon'ya|本屋|bookstore|Noun|Place|||464|||honya|
shoten, 書店, bookshop, bookstore, , |shoten|書店|bookshop, bookstore|Noun|Place|||||||
mura, 村, village, , |mura|村|village|Noun|Place|||||||
taku, otaku, 宅, your house, your home, your family, you, , |taku, otaku|宅|your house, your home, your family, you|Noun|Place|Honorific language.||465||||
yuuenchi, 遊園地, amusement park, , |yuuenchi|遊園地|amusement park|Noun|Place|||||||
tana, 棚, shelf, dana, |tana|棚|shelf|Noun|Place|||378|||dana|
bijutsukan, 美術館, art museum, , |bijutsukan|美術館|art museum|Noun|Place|||467||||
ueno, 上野, Ueno, , |ueno|上野|Ueno|Noun|Place|Section of Tokyo||||||
niiru, ナイル, Nile, , |niiru|ナイル|Nile|Noun|Place|||||||
sekai, 世界, world, , |sekai|世界|world|Noun|Place|||||||
machi, chou, 町, 街, town, block, neighbourhood, neighborhood, , |machi, chou|町, 街|town, block, neighbourhood, neighborhood|Noun|Place|||467||||
hokora, 祠, small shrine, , |hokora|祠|small shrine|Noun|Place|||||||
mura, 村, village, , |mura|村|village|Noun|Place|||||||
shi, 市, city, , |shi|市|city|Noun|Place|||||||
ichi, 市, market, fair, , |ichi|市|market, fair|Noun|Place|||||||
yashiki, oyashiki, お屋敷, mansion, compound, , |yashiki, oyashiki|お屋敷|mansion, compound|Noun|Place|||||||
hodoukyou, 歩道橋, pedestrian bridge, , |hodoukyou|歩道橋|pedestrian bridge|Noun|Place|||||||
jimusho, 事務所, office, , |jimusho|事務所|office|Noun|Place|||||||
hou, kata, 方, direction, way, side, area, , |hou, kata|方|direction, way, side, area|Noun|Place|||468, 468, 469||||
saka, 坂, slope, hill, climb, , |saka|坂|slope, hill, climb|Noun|Place|||470||||
sakamichi, 坂道, hill road, , |sakamichi|坂道|hill road|Noun|Place|||||||
koukyo, 皇居, imperial palace, , |koukyo|皇居|imperial palace|Noun|Place|||471||||
chuuou, 中央, center, , |chuuou|中央|center|Noun|Place|||406||||
naka, 中, inside, center, , |naka|中|inside, center|Noun|Place|||349||||
chuushin, 中心, center, , |chuushin|中心|center|Noun|Place|||276||||
doubutsuen, 動物園, zoo, , |doubutsuen|動物園|zoo|Noun|Place|||1296||||
keisatsu sho, 警察署, police station, , |keisatsu sho|警察署|police station|Noun|Place|||435||||
nyuukokukanrikyoku, 入国管理局, immigration office, , |nyuukokukanrikyoku|入国管理局|immigration office|Noun|Place|||436||||
kousokudouro, 高速道路, highway, freeway, expressway, motorway, , |kousokudouro|高速道路|highway, freeway, expressway, motorway|Noun|Place|||436||||
douro, 道路, road, highway, , |douro|道路|road, highway|Noun|Place|||||||
shadou, 車道, roadway, path, , |shadou|車道|roadway, path|Noun|Place|||||||
mukou, 向こう, beyond, other side, opposite side, over there, that way, the opposite person, , |mukou|向こう|beyond, other side, opposite side, over there, that way, the opposite person|Noun|Place|||132, 1334, 1368||asoko||
mukai, 向かい, facing, opposite, across the street, other side, , |mukai|向かい|facing, opposite, across the street, other side|Noun|Place|||||||
kaigishitsu, 会議室, conference room, , |kaigishitsu|会議室|conference room|Noun|Place|||399||||
shougakkou, 小学校, primary school, elementary school, grade school, , |shougakkou|小学校|primary school, elementary school, grade school|Noun|Place|||400||||
basutei, バス停, direction, way, side, area, , |basutei|バス停|direction, way, side, area|Noun|Place|||377||||
shiti, シティ, city, , |shiti|シティ|city|Noun|Place|||472||||
taaminaru, ターミナル, terminal, , |taaminaru|ターミナル|terminal|Noun|Place|||472||||
ofisu, オフィス, office, , |ofisu|オフィス|office|Noun|Place|||473||||
apaato, アパート, apartment, , |apaato|アパート|apartment|Noun|Place|||474||||
ike, 池, pond, , |ike|池|pond|Noun|Place|||475||||
konbini, コンビニ, convenience store, , |konbini|コンビニ|convenience store|Noun|Place|||||||
kusuriya, yakkyoku, 薬屋, 薬局, pharmacy, drugstore, , |kusuriya, yakkyoku|薬屋, 薬局|pharmacy, drugstore|Noun|Place|||476||||
hiitaa, ヒーター, heater, , |hiitaa|ヒーター|heater|Noun|Place|||477||||
hana, 花, flower, , |hana|花|flower|Noun|Flora|||478||||
bara, バラ, rose, , |bara|バラ|rose|Noun|Flora|||||||
shoobu, 勝負, iris, , |shoobu|勝負|iris|Noun|Flora|As of the flower||||||
ki, moku, 木, tree, , |ki, moku|木|tree|Noun|Flora|||479||||
sakura, 桜, cherry, , |sakura|桜|cherry|Noun|Flora|As of the tree or blossoms, not the fruit||||||
sakura no ki, 桜の木, cherry tree, , |sakura no ki|桜の木|cherry tree|Noun|Flora|||||||
shibafu, 芝生, grass, , |shibafu|芝生|grass|Noun|Flora|||||||
hayashi, 林, woods, , |hayashi|林|woods|Noun|Flora|As of long trees occupying a small area||||||
mori, 森, forest, , |mori|森|forest|Noun|Flora|As of  spead over a wide area and including undergowth||||||
eda, 枝, branch , bow, bough, twig, limb, , |eda|枝|branch , bow, bough, twig, limb|Noun|Flora|||||||
komugi, 小麦, wheat, , |komugi|小麦|wheat|Noun|Flora|||||||
hasu, 蓮, 藕, lotus, , |hasu|蓮, 藕|lotus|Noun|Flora|||||||
ta, 田, rice field, , |ta|田|rice field|Noun|Flora|||||||
take, 竹, bamboo, , |take|竹|bamboo|Noun|Flora|||||||
kudamono, 果物, fruit, , |kudamono|果物|fruit|Noun|Flora|||480||||
budou, 武道, grape, grapevine, , |budou|武道|grape, grapevine|Noun|Flora|||||||
mikan, 蜜柑, mandarin orange, , |mikan|蜜柑|mandarin orange|Noun|Flora|||||||
suisou, 水草, water plant, , |suisou|水草|water plant|Noun|Flora|||||||
kaisou, 海藻, seaweed, , |kaisou|海藻|seaweed|Noun|Flora|||||||
kabocha, 南瓜, pumpkin, squash, , |kabocha|南瓜|pumpkin, squash|Noun|Flora|||||||
kinoko, 茸, mushroom, , |kinoko|茸|mushroom|Noun|Flora|||||||
kouyou, momiji, 紅葉, 黄葉, autumn colours, fall colors, (Japanese) maple, , |kouyou, momiji|紅葉, 黄葉|autumn colours, fall colors, (Japanese) maple|Noun|Flora|||||||
kawa, 川, river, , |kawa|川|river|Noun|Flora|||427||||
iwa, 岩, rock, crag, , |iwa|岩|rock, crag|Noun|Flora|||||||
jagaimo, じゃが芋, potato, , |jagaimo|じゃが芋|potato|Noun|Flora|||||||
tamanegi, 玉ねぎ, 玉葱, onion, , |tamanegi|玉ねぎ, 玉葱|onion|Noun|Flora|||||||
nashi, 梨, Asian pear, , |nashi|梨|Asian pear|Noun|Flora|||||||
younashi, 洋梨, Western pear, , |younashi|洋梨|Western pear|Noun|Flora|||||||
mame, 豆, legume (esp. edible legumes or their seeds, such as beans, peas, pulses, etc.), beans, peas, soya bean, soy bean, , |mame|豆|legume (esp. edible legumes or their seeds, such as beans, peas, pulses, etc.), beans, peas, soya bean, soy bean|Noun|Flora|||||||
ha, 葉, leaf, leaves, , |ha|葉|leaf, leaves|Noun|Flora|||||||
kaki, 柿, persimmon, , |kaki|柿|persimmon|Noun|Flora|||||||
kuri, 栗, chestnut, , |kuri|栗|chestnut|Noun|Flora|||||||
kikyou, 桔梗, Chinese bellflower, , |kikyou|桔梗|Chinese bellflower|Noun|Flora|||||||
kaede, 楓, maple tree, maple, , |kaede|楓|maple tree, maple|Noun|Flora|||||||
kyuuri, kappa, 胡瓜, 河童, cucumber, katsupa, |kyuuri, kappa|胡瓜, 河童|cucumber|Noun|Flora||||||katsupa|
(go)shinboku, 御神木, sacred tree, , |(go)shinboku|御神木|sacred tree|Noun|Flora|||||||
shokubutsu, 植物, plants, vegetation, , |shokubutsu|植物|plants, vegetation|Noun|Flora|||1377||||
